,NOME_PRODUTO,PRINCIPIO_ATIVO,CLASSE_TERAPEUTICA,CATEGORIA_REGULATORIA
0,A Saúde Da Mulher,EXTRATO FLUIDO DE CASCA DE LARANJA AMARGA +  EXTRATO FLUIDO DE PASSIFLORA ALATA +  SALICILATO DE SÓDIO +  TINTURA AGONIADA PLUMÉRIA,ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS,NOVO
1,Aas,ACIDO ACETILSALICILICO,ANALGESICOS NAO NARCOTICOS,SIMILAR
2,Aas Protect,ÁCIDO ACETILSALICÍLICO,ANTIAGREGANTE PLAQUETARIO,SIMILAR
3,Abba,ACETATO DE ABIRATERONA,AGENTES ANTINEOPLÁSICOS,SIMILAR
4,Abc,CLOTRIMAZOL,ANTIMICOTICOS PARA USO TOPICO,SIMILAR
5,Abcler Abnat,BETAÍNA +  CITRATO DE COLINA +  DL-METIONINA +  LEVOMETIONINA,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,SIMILAR
6,Aberalgina,DIPIRONA,ANALGESICOS NAO NARCOTICOS,SIMILAR
7,Ablok,ATENOLOL,BETABLOQUEADORES SIMPLES,SIMILAR
8,Ablok Plus,ATENOLOL +  CLORTALIDONA,ANTI-HIPERTENSIVOS,SIMILAR
9,Abretia,CLORIDRATO DE DULOXETINA,ANTIDEPRESSIVOS,SIMILAR
10,Abrifit,HEDERA HELIX L.,EXPECTORANTES SIMPLES + FITOTERAPICO SIMPLES,FITOTERÁPICO
11,Abrilar,HEDERA HELIX L.,EXPECTORANTES + FITOTERAPICO SIMPLES,FITOTERÁPICO
12,Acalmilfito,CRATAEGUS RHIPIDOPHYLLA GAND. +  PASSIFLORA INCARNATA L. +  VALERIANA OFFICINALIS L.,ANSIOLITICOS-ASSOCIACOES MEDICAMENTOSAS + FITOTERAPICO COMPOSTO,FITOTERÁPICO
13,Accuvit,ACETATO DE RACEALFATOCOFEROL +  BETACAROTENO +  OXIDO CUPRICO +  RIBOFLAVINA +  SELENATO DE SÓDIO +  ÁCIDO ASCÓRBICO +  ÓXIDO CÚPRICO +  ÓXIDO DE ZINCO,VITAMINAS E SUPLEMENTOS MINERAIS,ESPECÍFICO
14,Acebrofilina,ACEBROFILINA,BRONCODILATADORES,GENÉRICO
15,Acebrofilina,ACEBROFILINA,BRONCODILATADORES,GENÉRICO
16,Acebrofilina,ACEBROFILINA,BRONCODILATADORES,
17,Acebrofilina,ACEBROFILINA,BRONCODILATADORES,GENÉRICO
18,Acebrofilina,ACEBROFILINA,BRONCODILATADORES,GENÉRICO
19,Aceclofenaco,ACECLOFENACO,ANTINFLAMATORIOS,GENÉRICO
20,Aceclofenaco,ACECLOFENACO,ANTINFLAMATORIOS,GENÉRICO
21,Aceclofenaco,ACECLOFENACO,ANTINFLAMATORIOS,GENÉRICO
22,Aceclofenaco,ACECLOFENACO,ANTINFLAMATORIOS,GENÉRICO
23,Aceclofenaco,ACECLOFENACO,ANTINFLAMATORIOS,GENÉRICO
24,Aceclofenaco,ACECLOFENACO,ANTINFLAMATORIOS,GENÉRICO
25,Aceclofenaco,ACECLOFENACO,ANTINFLAMATORIOS,GENÉRICO
26,Aceclofenaco,ACECLOFENACO,ANTINFLAMATORIOS,GENÉRICO
27,Aceflor,ACECLOFENACO,ANTINFLAMATORIOS,SIMILAR
28,Aceratum,PERÓXIDO DE URÉIA,MEDICAMENTOS ATIVOS NA SECRECAO GORDUROSA,SIMILAR
29,Acertalix,INDAPAMIDA +  PERINDOPRIL ARGININA,ANTI-HIPERTENSIVOS,NOVO
30,Acertanlo,BESILATO DE ANLODIPINO +  PERINDOPRIL ARGININA,ANTI-HIPERTENSIVOS,NOVO
31,Acertil,PERINDOPRIL ARGININA,ANTI-HIPERTENSIVOS,NOVO
32,Acesyl,CLORIDRATO DE TIAMINA,VITAMINAS E SUPLEMENTOS MINERAIS,ESPECÍFICO
33,Acetato De Abiraterona,ACETATO DE ABIRATERONA,ANTINEOPLASICO,GENÉRICO
34,Acetato De Ciproterona + Etinilestradiol,ACETATO DE CIPROTERONA,HORMONIOS SEXUAIS EXCLUSIVE OCITOCICOS,SIMILAR
35,Acetato De Ciproterona+Etinilestradiol,ACETATO DE CIPROTERONA +  ETINILESTRADIOL,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,GENÉRICO
36,Acetato De Ciproterona+Etinilestradiol,ACETATO DE CIPROTERONA +  ETINILESTRADIOL,ANDROGENOS SIMPLES,GENÉRICO
37,Acetato De Clormadinona + Etinilestradiol,ACETATO DE CLORMADINONA +  ETINILESTRADIOL,ANTICONCEPCIONAIS,GENÉRICO
38,Acetato De Clormadinona + Etinilestradiol,ACETATO DE CLORMADINONA +  ETINILESTRADIOL,ANTICONCEPCIONAIS,GENÉRICO
39,Acetato De Clormadinona + Etinilestradiol,ACETATO DE CLORMADINONA +  ETINILESTRADIOL,ANTICONCEPCIONAIS,GENÉRICO
40,Acetato De Clostebol + Sulfato De Neomicina,ACETATO DE CLOSTEBOL +  SULFATO DE NEOMICINA,CERATOLITICOS E CERATOPLASTICOS,GENÉRICO
41,Acetato De Dexametasona,ACETATO DE DEXAMETASONA,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,GENÉRICO
42,Acetato De Dexametasona,ACETATO DE DEXAMETASONA,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,GENÉRICO
43,Acetato De Dexametasona,ACETATO DE DEXAMETASONA,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,GENÉRICO
44,Acetato De Dexametasona,ACETATO DE DEXAMETASONA,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,GENÉRICO
45,Acetato De Hidrocortisona,ACETATO DE HIDROCORTISONA,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,GENÉRICO
46,Acetato De Prednisolona,ACETATO DE PREDNISOLONA,GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES,GENÉRICO
47,Acetato De Sódio,ACETATO DE SÓDIO TRI-HIDRATADO ,ELETROLITOS SIMPLES,ESPECÍFICO
48,Acetazona,ACETATO DE DEXAMETASONA +  DEXAMETASONA,GLICOCORTICOIDES SISTEMICOS,SIMILAR
49,Aceticil,ÁCIDO ACETILSALICÍLICO,ANALGESICOS,SIMILAR
50,Acetilcisteina,ACETILCISTEÍNA,EXPECTORANTES BALSAMICOS E MUCOLITICO,GENÉRICO
51,Acetilcisteina,ACETILCISTEÍNA,EXPECTORANTES BALSAMICOS E MUCOLITICO,GENÉRICO
52,Acetilcisteina,ACETILCISTEÍNA,EXPECTORANTES BALSAMICOS E MUCOLITICO,GENÉRICO
